"スキル項目コード","専門分野コード"
"S130010050","HI-080-010"
"S130010050","HI-090-010"
"S130010050","HI-090-020"
"S130010050","HU-080-010"
"S130010050","HU-090-010"
"S130010050","HE-020-010"
"S130010050","HE-020-020"
"S130010050","HE-040-010"
"S130010050","HE-050-010"
"S130010050","HE-060-010"
"S130010050","HE-070-020"
"S130010050","HE-080-010"
"S130010050","HE-100-010"
"S130010050","HS-020-010"
"S130010050","HF-010-030"
"S130010050","HF-010-050"
"S130010050","HF-020-020"
"S130010050","HF-020-030"
"S130010050","HF-020-050"
"S130010050","HF-030-020"
"S130010050","HF-030-030"
"S130010050","HF-030-040"
"S130010050","HF-030-060"
"S130010050","HF-040-010"
"S130010050","HF-040-020"
"S130010050","HF-040-030"
"S130010050","HN-010-030"
"S130010050","HN-020-030"
"S130010050","HN-030-020"
"S130010050","HP-010-020"
"S130010050","HP-010-030"
"S130020010","HI-060-010"
"S130020010","HI-060-020"
"S130020010","HI-060-030"
"S130020010","HI-060-040"
"S130020010","HI-060-050"
"S130020010","HI-060-060"
"S130020010","HI-070-010"
"S130020010","HI-080-010"
"S130020010","HU-070-010"
"S130020010","HE-070-010"
"S130020010","HE-080-010"
"S130020010","HF-020-030"
"S130020010","HF-030-030"
"S130020010","HF-040-010"
"S130020010","HN-020-030"
"S130020010","HN-030-030"
"S130020010","HN-030-050"
"S130020010","HP-010-010"
"S130020010","HP-010-020"
"S130020010","HP-010-030"
"S130020020","HI-060-010"
"S130020020","HI-060-020"
"S130020020","HI-060-030"
"S130020020","HI-060-040"
"S130020020","HI-060-050"
"S130020020","HI-060-060"
"S130020020","HI-070-010"
"S130020020","HI-080-010"
"S130020020","HU-070-010"
"S130020020","HE-070-010"
"S130020020","HE-080-010"
"S130020020","HE-100-010"
"S130020020","HF-020-030"
"S130020020","HF-030-030"
"S130020020","HF-040-010"
"S130020020","HN-020-030"
"S130020020","HN-030-030"
"S130020020","HN-030-050"
"S130020020","HP-010-020"
"S130020020","HP-010-030"
"S130020030","HI-060-010"
"S130020030","HI-060-020"
"S130020030","HI-060-030"
"S130020030","HI-060-040"
"S130020030","HI-060-050"
"S130020030","HI-060-060"
"S130020030","HI-070-010"
